track,distance,horseOverallTime,runtime_seconds,speed
marburg,2900.0,3:38.873,218.873,0.07547344827586207
maryborough,1609.0,1:54.568,114.568,0.07120447482908639
maryborough,1690.0,1:58.084,118.084,0.06987218934911243
maryborough,1912.0,nan,,
maryborough,2190.0,2:34.213,154.213,0.07041689497716895
maryborough,2690.0,3:12.842,192.842,0.07168847583643123
maryborough (qld),1912.0,2:22.602,142.602,0.0745826359832636
melton,1200.0,1:20.610,80.61,0.067175
melton,1720.0,1:56.030,116.03,0.0674593023255814
melton,2240.0,2:34.601,154.601,0.06901830357142857
melton,2760.0,3:11.846,191.846,0.06950942028985507
melton,3280.0,3:59.134,239.13400000000001,0.07290670731707317
menangle,1000.0,1:05.100,65.1,0.06509999999999999
menangle,1609.0,1:46.948,106.94800000000001,0.0664686140459913
menangle,2300.0,2:37.864,157.864,0.06863652173913044
menangle,2400.0,2:46.293,166.293,0.06928875
menangle,3009.0,3:35.974,215.974,0.07177600531738118
mildura,1380.0,1:40.486,100.48599999999999,0.0728159420289855
mildura,1790.0,2:07.018,127.018,0.07095977653631284
mildura,2190.0,2:36.690,156.69,0.07154794520547945
mildura,2600.0,3:08.570,188.57,0.07252692307692307
moonee valley,1130.0,1:19.630,79.63,0.07046902654867256
moonee valley,1135.0,1:18.641,78.64099999999999,0.06928722466960352
moonee valley,1609.0,1:53.982,113.982,0.0708402734617775
moonee valley,2090.0,2:33.085,153.085,0.07324641148325359
moonee valley,2100.0,2:30.593,150.593,0.07171095238095238
moonee valley,2570.0,3:08.711,188.711,0.0734284046692607
moonee valley,2575.0,3:05.350,185.35,0.07198058252427184
moonee valley,3050.0,3:52.503,232.503,0.07623049180327868
moonee valley,3065.0,3:48.033,228.03300000000002,0.07439902120717781
mooroopna,1750.0,2:13.869,133.869,0.07649657142857143
mooroopna,2150.0,2:46.039,166.039,0.07722744186046511
mooroopna,2550.0,3:34.695,214.695,0.08419411764705882
mount gambier,1385.0,1:38.732,98.732,0.07128664259927797
mount gambier,1780.0,2:09.073,129.073,0.07251292134831461
mount gambier,1790.0,2:08.256,128.256,0.0716513966480447
mount gambier,2190.0,2:39.785,159.785,0.07296118721461187
mount gambier,2580.0,3:16.102,196.102,0.07600852713178295
mount gambier,2590.0,3:14.379,194.379,0.07504980694980695
muswellbrook,1770.0,2:10.508,130.508,0.07373333333333335
muswellbrook,2170.0,2:42.165,162.165,0.07473041474654378
narrabri,1760.0,2:08.238,128.238,0.0728625
narrabri,2160.0,2:39.300,159.3,0.07375000000000001
narrabri,2560.0,3:10.144,190.144,0.07427500000000001
narrogin,1795.0,2:20.210,140.21,0.07811142061281337
narrogin,1823.0,2:10.519,130.519,0.0715957213384531
narrogin,1842.0,2:14.740,134.74,0.07314875135722042
narrogin,2100.0,2:50.070,170.07,0.08098571428571429
narrogin,2223.0,2:49.707,169.707,0.07634143049932524
narrogin,2230.0,2:50.310,170.31,0.07637219730941704
narrogin,2242.0,2:42.275,162.275,0.07237957181088314
narrogin,2262.0,2:49.120,169.12,0.0747656940760389
narrogin,2620.0,3:21.880,201.88,0.07705343511450381
narrogin,2636.0,3:19.300,199.3,0.07560698027314113
narrogin,2648.0,3:24.610,204.61,0.07726963746223565
narrogin,2662.0,3:14.023,194.023,0.0728861758076634
